Zip,City,State,Latitude,Longitude,Latitude Radians,Longitude Radians,Timezone,Daylight savings time flag,geopoint
98500,Tumwater,WA,46.985519,-122.907649,0.820052007,-2.145143151,-8,1,"46.985519, -122.907649"
98856,Twisp,WA,48.359904,-120.13051,0.844039551,-2.096672932,-8,1,"48.359904, -120.13051"
98651,Underwood,WA,45.730656,-121.57558,0.798150516,-2.121894161,-8,1,"45.730656, -121.57558"
98592,Union,WA,47.33179,-123.07403,0.826095576,-2.148047047,-8,1,"47.33179, -123.07403"
99179,Uniontown,WA,46.516794,-117.08202,0.811871213,-2.043466744,-8,1,"46.516794, -117.08202"
98467,University Place,WA,47.203946,-122.52996,0.823864278,-2.138551234,-8,1,"47.203946, -122.52996"
99180,Usk,WA,48.295497,-117.29236,0.842915437,-2.047137869,-8,1,"48.295497, -117.29236"
98593,Vader,WA,46.40521,-122.9827,0.809923705,-2.146453038,-8,1,"46.40521, -122.9827"
99181,Valley,WA,48.144634,-117.74564,0.84028238,-2.055049098,-8,1,"48.144634, -117.74564"
99036,Valleyford,WA,47.52507,-117.27054,0.829468949,-2.046757039,-8,1,"47.52507, -117.27054"
98666,Vancouver,WA,45.801586,-122.520347,0.799388478,-2.138383456,-8,1,"45.801586, -122.520347"
98687,Vancouver,WA,45.801586,-122.520347,0.799388478,-2.138383456,-8,1,"45.801586, -122.520347"
